reach_node_index,distance_covered,flow_accumulation
3531600,0,9.75E+06
3531601,1,9.75E+06
3531602,2,9.75E+06
3534303,3,9.75E+06
3534304,4,9.75E+06
3534305,5,9.75E+06
3534306,6,9.75E+06
3537007,7,9.75E+06
3537008,8,9.75E+06
3539709,9,9.75E+06
3539710,10,9.75E+06
3537011,11,9.75E+06
3537012,12,9.75E+06
3537013,13,9.75E+06
3537014,14,9.75E+06
3537015,15,9.75E+06
3537016,16,9.75E+06
3537017,17,9.75E+06
3537018,18,9.75E+06
3534319,19,9.75E+06
3534320,20,9.75E+06
3531621,21,9.75E+06
3531622,22,9.75E+06
3531623,23,9.75E+06
3528924,24,9.75E+06
3526225,25,9.75E+06
3526226,26,9.75E+06
3526227,27,9.75E+06
3526228,28,9.75E+06
3526229,29,9.75E+06
3526230,30,9.75E+06
3526231,31,9.75E+06
3523532,32,9.75E+06
3523533,33,9.75E+06
3523534,34,9.75E+06
3523535,35,9.75E+06
3520836,36,9.75E+06
3518137,37,9.75E+06
3518138,38,9.75E+06
3515439,39,9.75E+06
3515440,40,9.75E+06
3515441,41,9.75E+06
3512742,42,9.75E+06
3512743,43,9.75E+06
3510044,44,9.75E+06
3507345,45,9.75E+06
3504646,46,9.75E+06
3504647,47,9.75E+06
3501948,48,9.75E+06
3501949,49,9.75E+06
3499250,50,9.75E+06
3499251,51,9.75E+06
3499252,52,9.75E+06
3496553,53,9.75E+06
3496554,54,9.75E+06
3496555,55,9.75E+06
3493856,56,9.75E+06
3493857,57,9.75E+06
3493858,58,9.75E+06
3493859,59,9.75E+06
3493860,60,9.75E+06
3491161,61,9.75E+06
3491162,62,9.75E+06
3491163,63,9.75E+06
3491164,64,9.75E+06
3491165,65,9.75E+06
3491166,66,9.75E+06
3488467,67,9.75E+06
3485768,68,9.75E+06
3485769,69,9.75E+06
3483070,70,9.75E+06
3483071,71,9.75E+06
3483072,72,9.75E+06
3480373,73,9.75E+06
3477674,74,9.75E+06
3474975,75,9.75E+06
3472276,76,9.75E+06
3469577,77,9.75E+06
3469578,78,9.75E+06
3466879,79,9.75E+06
3464180,80,9.75E+06
3461481,81,9.75E+06
3458782,82,9.75E+06
3458783,83,9.75E+06
3458784,84,9.75E+06
3456085,85,9.75E+06
3456086,86,9.75E+06
3456087,87,9.75E+06
3453388,88,9.75E+06
3453389,89,9.75E+06
3453390,90,9.75E+06
3453391,91,9.75E+06
3453392,92,9.75E+06
3456093,93,9.75E+06
3456094,94,9.75E+06
3456095,95,9.75E+06
3458796,96,9.75E+06
3458797,97,9.75E+06
3458798,98,9.75E+06
3458799,99,9.75E+06
3461500,100,9.75E+06
3464201,101,9.75E+06
3464202,102,9.75E+06
3464203,103,9.75E+06
3464204,104,9.75E+06
3466905,105,9.75E+06
3466906,106,9.75E+06
3469607,107,9.75E+06
3469608,108,9.75E+06
3469609,109,9.75E+06
3472310,110,9.75E+06
3472311,111,9.75E+06
3472312,112,9.75E+06
3472313,113,9.75E+06
3475014,114,9.75E+06
3475015,115,9.75E+06
3477716,116,9.75E+06
3477717,117,9.75E+06
3477718,118,9.75E+06
3477719,119,9.75E+06
3480420,120,1.01E+07
3480421,121,1.01E+07
3483122,122,1.01E+07
3483123,123,1.01E+07
3483124,124,1.01E+07
3483125,125,1.01E+07
3483126,126,1.01E+07
3485827,127,1.01E+07
3488528,128,1.01E+07
3488529,129,1.01E+07
3488530,130,1.01E+07
3488531,131,1.01E+07
3485832,132,1.01E+07
3485833,133,1.01E+07
3485834,134,1.01E+07
3485835,135,1.01E+07
3485836,136,1.01E+07
